S/N,Throughput,UL Packet Loss,DL Packet Loss
646,1119.93340625,0.00001113,0.00002874
647,1122.23648438,0.00001111,0.00002869
648,1124.27927344,0.00001110,0.00002863
649,1125.77152344,0.00001108,0.00002859
650,1127.65380469,0.00001106,0.00002854
651,1129.47953125,0.00001105,0.00002849
652,1131.04789063,0.00001103,0.00002845
653,1132.64760156,0.00001101,0.00002840
654,1133.90414063,0.00001100,0.00002836
655,1135.70335938,0.00001098,0.00002832
656,1137.17454688,0.00001097,0.00002828
657,1138.57985938,0.00001095,0.00002824
658,1140.32894531,0.00001093,0.00002820
659,1142.01010938,0.00001092,0.00002816
660,1143.36171875,0.00001090,0.00002811
661,1145.17360938,0.00001089,0.00002807
662,1147.03985938,0.00001087,0.00002802
663,1148.78965625,0.00001085,0.00002798
664,1150.49463281,0.00001084,0.00002793
665,1152.25392969,0.00001082,0.00002789
666,1153.56909375,0.00001081,0.00002785
667,1155.47129688,0.00001079,0.00002780
668,1156.89151563,0.00001077,0.00002776
669,1158.76839844,0.00001076,0.00002771
670,1160.56754688,0.00001074,0.00002767
671,1161.98095313,0.00001073,0.00002763
672,1163.64477344,0.00001071,0.00002759
673,1165.55285156,0.00001070,0.00002755
674,1167.06223438,0.00001068,0.00002750
675,1168.88412500,0.00001067,0.00002746
676,1170.70888281,0.00001065,0.00002741
677,1172.11153906,0.00001064,0.00002737
678,1173.87066406,0.00001062,0.00002733
679,1175.41821875,0.00001061,0.00002729
680,1177.32196094,0.00001059,0.00002724
681,1179.10586719,0.00001058,0.00002720
682,1180.59632813,0.00001760,0.00002716
683,1182.41128125,0.00001758,0.00002711
684,1184.09102344,0.00001755,0.00002708
685,1185.65191406,0.00001753,0.00002703
686,1187.42403906,0.00001750,0.00002699
